ID_AlunoRegiao;NumeroAlunos;ID_Ano;ID_Regiao
1;114271;1;1001
2;117465;2;1001
3;120038;3;1001
4;122427;4;1001
5;121261;5;1001
6;116950;6;1001
7;113707;7;1001
8;113690;8;1001
9;117987;9;1001
10;116539;10;1001
11;120835;11;1001
12;123754;12;1001
13;123726;13;1001
14;119350;14;1001
15;115821;15;1001
16;112624;16;1001
17;115429;17;1001
18;116742;18;1001
19;120929;19;1001
20;126313;20;1001
21;131742;21;1001
22;137008;22;1001
23;76243;1;1002
24;81335;2;1002
25;84186;3;1002
26;87501;4;1002
27;85568;5;1002
28;81714;6;1002
29;79297;7;1002
30;78839;8;1002
31;82200;9;1002
32;80191;10;1002
33;81319;11;1002
34;85749;12;1002
35;84304;13;1002
36;81631;14;1002
37;79982;15;1002
38;75693;16;1002
39;76912;17;1002
40;78606;18;1002
41;80874;19;1002
42;82439;20;1002
43;85821;21;1002
44;88169;22;1002
45;146465;1;1003
46;149481;2;1003
47;152750;3;1003
48;151390;4;1003
49;149947;5;1003
50;145269;6;1003
51;139042;7;1003
52;139485;8;1003
53;140759;9;1003
54;141211;10;1003
55;145781;11;1003
56;150034;12;1003
57;148414;13;1003
58;139761;14;1003
59;137774;15;1003
60;134403;16;1003
61;136552;17;1003
62;137579;18;1003
63;141266;19;1003
64;145594;20;1003
65;147165;21;1003
66;153149;22;1003
67;19708;1;1004
68;21469;2;1004
69;21500;3;1004
70;21441;4;1004
71;20484;5;1004
72;19829;6;1004
73;18407;7;1004
74;17467;8;1004
75;17981;9;1004
76;17214;10;1004
77;17714;11;1004
78;18410;12;1004
79;16799;13;1004
80;14752;14;1004
81;13738;15;1004
82;12990;16;1004
83;13621;17;1004
84;14724;18;1004
85;15296;19;1004
86;16078;20;1004
87;17172;21;1004
88;17640;22;1004
89;10652;1;1005
90;11328;2;1005
91;11483;3;1005
92;11331;4;1005
93;11364;5;1005
94;10615;6;1005
95;10571;7;1005
96;10807;8;1005
97;10909;9;1005
98;10645;10;1005
99;10723;11;1005
100;10896;12;1005
101;9977;13;1005
102;8982;14;1005
103;8680;15;1005
104;7902;16;1005
105;7893;17;1005
106;8227;18;1005
107;8413;19;1005
108;8759;20;1005
109;9030;21;1005
110;9613;22;1005
111;3630;1;1006
112;3725;2;1006
113;3614;3;1006
114;3663;4;1006
115;3427;5;1006
116;3358;6;1006
117;3041;7;1006
118;3193;8;1006
119;3320;9;1006
120;3566;10;1006
121;3681;11;1006
122;3874;12;1006
123;3643;13;1006
124;3426;14;1006
125;3034;15;1006
126;2910;16;1006
127;2726;17;1006
128;2815;18;1006
129;2768;19;1006
130;2827;20;1006
131;2626;21;1006
132;2695;22;1006
133;2776;1;1007
134;2900;2;1007
135;3030;3;1007
136;3078;4;1007
137;3012;5;1007
138;3202;6;1007
139;3247;7;1007
140;3248;8;1007
141;3761;9;1007
142;3636;10;1007
143;3574;11;1007
144;3551;12;1007
145;3410;13;1007
146;3098;14;1007
147;3171;15;1007
148;3136;16;1007
149;3266;17;1007
150;3250;18;1007
151;3207;19;1007
152;3237;20;1007
153;3353;21;1007
154;3721;22;1007
