ID_TotalAluno;AlunoFem;AlunoMas;PopulaTotal;ID_Ano
1;211221;162524;10362722;1
2;221042;166661;10362722;2
3;226113;170488;10362722;3
4;226860;173971;10362722;4
5;221496;173567;10362722;5
6;212053;168884;10362722;6
7;202792;164520;10362722;7
8;197908;168821;10362722;8
9;201740;175177;10568247;9
10;199002;174000;10573100;10
11;204476;179151;10565836;11
12;211641;184627;10531420;12
13;208758;181515;10473991;13
14;197255;173745;10419607;14
15;193948;168252;10381838;15
16;187335;162323;10356516;16
17;190282;166117;10340124;17
18;194024;167919;10334633;18
19;200518;172235;10354446;19
20;208587;176660;10384846;20
21;214731;182178;10407707;21
22;220851;191144;10407707;22
