id_ano;alunofem;id_educacao;id_artes;id_ciencias_sociais_comercio_e_direito;id_ciencias_matematica_e_informatica;id_engenharia_industrias_transformadoras_e_construcao;id_agricultura;id_saude_e_protecao_social;id_servicos
1;211221;37874;22378;77392;17031;23881;5836;21305;5524
2;221042;41685;23428;76167;17091;24947;5790;25933;6001
3;226113;42353;22858;76305;16423;25401;5492;30615;6666
4;226860;39371;22027;75930;16076;26111;5125;34924;7296
5;221496;33487;21380;74173;15375;25981;4603;39093;7404
6;212053;27646;20280;71286;14284;24619;4251;42446;7241
7;202792;21581;19144;68777;13339;23511;3947;45268;7225
8;197908;17622;18230;68284;13024;23176;3887;46443;7242
9;201740;16198;18937;69691;13861;23584;4189;47944;7336
10;199002;15667;18219;69183;12900;23131;3864;48037;8001
11;204476;17173;19062;70677;13127;23815;3872;48373;8377
12;211641;18196;20542;72934;13468;24208;3970;49618;8705
13;208758;18008;21038;71009;13445;24328;4022;47942;8716
14;197255;15498;20391;67339;13490;23506;4010;44355;8507
15;193948;13879;20576;67079;13428;22542;3965;43832;8440
16;187335;12138;20762;65685;12981;20790;3834;42577;8362
17;190282;11214;21260;67077;13093;21403;4386;42534;9061
18;194024;10783;22159;68953;13358;21486;4612;43186;9339
19;200518;10307;23096;72482;13879;21801;4753;44215;9777
20;208587;9951;24197;76573;14174;23079;4787;45397;10254
21;214731;10145;24864;79503;14838;23077;5027;46682;10412
22;220851;10608;25258;82757;15150;22833;5237;48335;10473
23;233747;11669;26895;87634;16286;24402;5583;50786;10282
24;241356;12810;28089;90090;16510;24671;6065;52995;9922
